question,answer
"ခရီးသွားလုပ်ငန်း ဖွံ့ဖြိုးတိုးတက်ဖို့အတွက် ဝန်ကြီးဌာနက ဘယ်လို ဒစ်ဂျစ်တယ်ဝန်ဆောင်မှုတွေကို ပေးထားသလဲ?","Tourism Payment System နဲ့ Guest List Information System တို့ကဲ့သို့သော ဒစ်ဂျစ်တယ်ဝန်ဆောင်မှုများကို ပေးထားပါတယ်။"
"ခရီးသွားလာရာမှာ ကျန်းမာရေးအတွက် ဘယ်လိုကြိုတင်ပြင်ဆင်မှုတွေ လုပ်သင့်သလဲ?","ခရီးမထွက်ခွာမီ ဆရာဝန်နဲ့တိုင်ပင်ပြီး လိုအပ်တဲ့ ကာကွယ်ဆေးများ ထိုးနှံထားသင့်ကာ သန့်စင်ပြီးသား ရေသန့်ဘူးကိုသာ သောက်သုံးသင့်ပါတယ်။"
"ဗြိတိန်နိုင်ငံ (UK) ရဲ့ အကြံပြုချက်အရ ရန်ကုန်ကို သွားဖို့ အန္တရာယ်ရှိပါသလား။","ဗြိတိန်နိုင်ငံက ရန်ကုန်ကို ခရီးသွားလာခွင့် ကန့်သတ်ထားခြင်းမရှိပေမဲ့ တခြား အနောက်နိုင်ငံတွေကတော့ အန္တရာယ်ရှိတဲ့ဇုန်အဖြစ် သတ်မှတ်ထားပါတယ်။"
"အမေရိကန်အစိုးရက မြန်မာနိုင်ငံခရီးစဉ်အပေါ် ဘယ်လို သဘောထားရှိပါသလဲ။","အမေရိကန်နိုင်ငံကတော့ မြန်မာနိုင်ငံတစ်ဝန်းလုံးကို ""Level 4: Do Not Travel"" (လုံးဝ ခရီးမသွားရန်) ဆိုတဲ့ အမြင့်ဆုံးအဆင့် သတိပေးချက် ထုတ်ထားပါတယ်။"
"ရန်ကုန်မြို့ထဲမှာ ပေါက်ကွဲမှုတွေ ဖြစ်ပွားလေ့ရှိပါသလား။","ရန်ကုန်မြို့ပြဧရိယာမှာ တစ်လကို ပျမ်းမျှ အကြိမ် ၂၀ ကျော်လောက် ပေါက်ကွဲမှုတွေ ဖြစ်ပွားနေတယ်လို့ အစီရင်ခံစာတွေအရ သိရပါတယ်။"
"ခရီးသွားနေစဉ်အတွင်း လုံခြုံရေးစစ်ဆေးမှုတွေ ကြုံရနိုင်ပါသလား။","လုံခြုံရေးဂိတ်တွေမှာ ပတ်စပို့နဲ့ ဗီဇာတွေကို မကြာခဏ စစ်ဆေးတာမျိုးတွေ ကြုံရနိုင်တဲ့အတွက် စာရွက်စာတမ်း အပြည့်အစုံ ဆောင်ထားဖို့ လိုပါတယ်။"
"နိုင်ငံခြားသားတွေ အကြောင်းမဲ့ ဖမ်းဆီးခံရနိုင်တဲ့ အခြေအနေ ရှိပါသလား။","အခြေအမြစ်မရှိတဲ့ စွပ်စွဲချက်တွေ ဒါမှမဟုတ် နိုင်ငံရေးနဲ့ ပတ်သက်တဲ့ အကြောင်းပြချက်တွေကြောင့် ဖမ်းဆီးထိန်းသိမ်းခံရနိုင်ခြေ ရှိတယ်လို့ သံရုံးအချို့က သတိပေးထားပါတယ်။"
"ဆိုရှယ်မီဒီယာ အသုံးပြုမှုက ဖမ်းဆီးခံရဖို့ အကြောင်းရင်း ဖြစ်နိုင်ပါသလား။","ဟုတ်ပါတယ်၊ အစိုးရကို ဝေဖန်တဲ့ ရေးသားမှုတွေဟာ အွန်လိုင်းပေါ်မှာ ရှိနေခဲ့ရင် ဖမ်းဆီးခံရဖို့ အန္တရာယ် ရှိပါတယ်။"
"ဖမ်းဆီးခံရတဲ့အခါ မိမိနိုင်ငံသံရုံးက ချက်ချင်း ကူညီနိုင်ပါသလား။","အာဏာပိုင်တွေဘက်က သံရုံးနဲ့ ဆက်သွယ်ခွင့်ကို ကာလရှည်ကြာ ပိတ်ပင်ထားနိုင်တာကြောင့် ချက်ချင်း အကူအညီရဖို့ ခက်ခဲနိုင်ပါတယ်။"
"ကလေးငယ်တွေနဲ့အတူ သွားရောက်ဖို့ ကျန်းမာရေးစောင့်ရှောက်မှုက စိတ်ချရပါသလား။","လက်ရှိမှာ ကျန်းမာရေးစနစ်က အားနည်းနေတာကြောင့် အရေးပေါ် ကျန်းမာရေးပြဿနာရှိလာရင် နိုင်ငံတကာအဆင့်မီ ကုသမှုရဖို့ အခက်အခဲ ရှိနိုင်ပါတယ်။"
"မြန်မာနိုင်ငံမှာ VPN အသုံးပြုလို့ ရပါသလား။","VPN အသုံးပြုမှုကို တရားမဝင်ဘူးလို့ သတ်မှတ်ထားပြီး စစ်ဆေးတွေ့ရှိပါက ထောင်ဒဏ် သို့မဟုတ် ငွေဒဏ် ချမှတ်ခံရနိုင်ပါတယ်။"
"ငွေကြေးသုံးစွဲမှုအတွက် ATM တွေက အဆင်ပြေပါသလား။","ATM စက်တွေက အမြဲတမ်း အလုပ်မလုပ်တာကြောင့် သုံးစွဲဖို့အတွက် အမေရိကန်ဒေါ်လာ (အသစ်) တွေကို လက်သား ငွေသားအဖြစ် ဆောင်သွားသင့်ပါတယ်။"
"ရန်ကုန်ကနေ တခြားမြို့တွေကို ကားနဲ့သွားလို့ ရပါသလား။","ကုန်းလမ်းခရီးမှာ စစ်ဆေးရေးဂိတ်တွေနဲ့ ပဋိပက္ခတွေ ရှိနိုင်တာကြောင့် လေကြောင်းခရီးစဉ်ကိုသာ အဓိက သုံးသင့်ပါတယ်။"
"မြန်မာနိုင်ငံအတွက် ခရီးသွားအာမခံ (Travel Insurance) အလွယ်တကူ ရနိုင်ပါသလား။","နိုင်ငံတကာ သတိပေးချက်တွေကြောင့် အာမခံကုမ္ပဏီအတော်များများက မြန်မာနိုင်ငံအတွက် အာမခံပေးဖို့ ငြင်းဆိုထားတာမျိုး ရှိတတ်ပါတယ်။"
"ရန်ကုန်မြို့ရဲ့ အများပြည်သူဆိုင်ရာ နေရာတွေက ဘေးကင်းပါသလား။","ဟိုတယ်တွေ၊ ဈေးဝယ်စင်တာတွေနဲ့ စားသောက်ဆိုင်တွေဟာ ရံဖန်ရံခါ ပစ်မှတ်ထားခံရနိုင်တဲ့အတွက် သတိအမြဲရှိဖို့ လိုပါတယ်။"
"အင်တာနက်လိုင်းတွေက အမြဲတမ်း ရပါသလား။","မိုဘိုင်းဒေတာနဲ့ အင်တာနက်လိုင်းတွေကို အာဏာပိုင်တွေဘက်က လိုအပ်သလို ဖြတ်တောက်တာမျိုးတွေ ရှိတတ်ပါတယ်။"
"ဗြိတိန်နိုင်ငံသားတစ်ယောက်အနေနဲ့ ရန်ကုန်ကို သွားသင့်ပါသလား။","အတွေ့အကြုံရှိ ခရီးသွားဖြစ်ပေမဲ့လည်း ကလေးငယ်တွေနဲ့အတူ လာရောက်ဖို့ကတော့ စွန့်စားမှု အလွန်များတဲ့အတွက် သေချာစဉ်းစားသင့်ပါတယ်။"
"နိုင်ငံခြားငွေလဲလှယ်တဲ့အခါ ဘာတွေ သတိထားရမလဲ။","ဒေါ်လာငွေစက္ကူတွေဟာ ခေါက်ရာ၊ စွန်းထင်းရာ မရှိဘဲ လုံးဝ အသစ်စက်စက် ဖြစ်နေမှသာ လဲလှယ်လို့ အဆင်ပြေပါလိမ့်မယ်။"
"ရန်ကုန်မှာ ညဖက် အပြင်ထွက်လို့ ရပါသလား။","ညမထွက်ရအမိန့် (Curfew) ရှိ၊ မရှိနဲ့ လုံခြုံရေး အခြေအနေပေါ် မူတည်ပြီး ညဖက် သွားလာမှုကို အတတ်နိုင်ဆုံး ရှောင်ကြဉ်သင့်ပါတယ်။"
"ခရီးစဉ်အတွင်း ဗြိတိန်သံရုံးကို အကြောင်းကြားထားဖို့ လိုပါသလား။","ဟုတ်ကဲ့၊ တစ်ခုခုဖြစ်လာရင် အဆက်အသွယ်ရအောင် သံရုံးမှာ မိမိရဲ့ ခရီးစဉ် အချက်အလက်တွေကို ကြိုတင် စာရင်းပေးထားသင့်ပါတယ်။"
"မြန်မာနိုင်ငံက ဥပဒေတွေက နိုင်ငံခြားသားတွေအပေါ် ဘယ်လို သက်ရောက်မှု ရှိသလဲ။","ဒေသတွင်း ဥပဒေတွေက ပြင်းထန်ပြီး မထင်မှတ်တဲ့ အသေးအဖွဲ ကိစ္စတွေကနေ ပြဿနာကြီးကြီးမားမား ဖြစ်သွားနိုင်ပါတယ်။"
"အခုအချိန်မှာ ရန်ကုန်ကို အလည်အပတ်သွားတာက ပျော်စရာကောင်းတဲ့ ခရီးစဉ် ဖြစ်နိုင်ပါသလား။","လုံခြုံရေး စိုးရိမ်ရမှုတွေ၊ ကန့်သတ်ချက်တွေနဲ့ အခြေခံဝန်ဆောင်မှု အားနည်းချက်တွေကြောင့် ပုံမှန် အပန်းဖြေခရီးတစ်ခုလိုမျိုး စိတ်လက်ပေါ့ပါးစွာ နေနိုင်ဖို့ ခဲယဉ်းပါလိမ့်မယ်။"
"အာရှလမ်းမကြီး (Myawaddy-Kawkareik) ပြန်ပွင့်ပြီဆိုတာ ဟုတ်ပါသလား။","လမ်းပိုင်းအချို့ ပြန်ဖွင့်ပေးထားတယ်ဆိုပေမဲ့ ကိုယ်ပိုင်ကားလေးတွေလောက်ပဲ သွားလို့ရသေးပြီး ကုန်သွယ်ရေးကားကြီးတွေကိုတော့ ခွင့်မပြုသေးပါဘူး။"
"ကော့ကရိတ်နဲ့ ကျုံဒိုးဘက်မှာ တိုက်ပွဲတွေ ရှိနေသေးသလား။","ဟုတ်ပါတယ်၊ အဲ့ဒီဒေသတဝိုက်မှာ လက်နက်ကိုင်ပဋိပက္ခတွေက ရံဖန်ရံခါ ဆက်ဖြစ်နေတုန်းပါပဲ။"
"ဒုတိယ ချစ်ကြည်ရေးတံတား (Bridge 2) အခြေအနေက ဘယ်လိုရှိလဲ။","ဒုတိယတံတားက အခုထိ ပိတ်ထားဆဲဖြစ်ပြီး ဘယ်တော့ပြန်ဖွင့်မလဲဆိုတဲ့ အချိန်အတိအကျလည်း မသိရသေးပါဘူး။"
"တံတားပြန်ပွင့်လာရင် နိုင်ငံခြားသားတွေကို ချက်ချင်း ခွင့်ပြုမှာလား။","တံတားပြန်ပွင့်ခဲ့ရင်တောင် ကုန်သွယ်ရေးကိုပဲ ဦးစားပေးမှာဖြစ်လို့ ကမ္ဘာလှည့်ခရီးသည်တွေကို ခွင့်ပြုဖို့ကတော့ လောလောဆယ် မျှော်လင့်ချက် နည်းနေပါသေးတယ်။"
"မြဝတီကို Border Pass (နေ့ချင်းပြန်) နဲ့ သွားလည်လို့ ရနိုင်မလား။","နီးစပ်ရာ အနာဂတ်ကာလအထိတော့ နိုင်ငံခြားသားတွေကို နေ့ချင်းပြန်ဝင်ခွင့်ပေးဖို့ အခြေအနေ မမြင်ရသေးပါဘူး။"
"အာရှလမ်းမကြီး ပိတ်ထားတာ ဘယ်လောက်ကြာပြီလဲ။","တိုက်ပွဲတွေကြောင့် ဒီလမ်းပိုင်းဟာ ၂၀၂၃ ခုနှစ်နှောင်းပိုင်းကတည်းက ၂ နှစ်နီးပါးလောက် ပိတ်ထားခဲ့ရတာပါ။"
"လမ်းဟောင်း (တောင်ပတ်လမ်း) တွေကနေ သွားလို့မရဘူးလား။","တောင်ပတ်လမ်းတွေကို အာဏာပိုင်တွေဘက်က ပိတ်ဆို့ထားသလို လက်နက်ကိုင်အဖွဲ့တွေရဲ့ ထိန်းချုပ်မှုအောက်မှာ ရှိနေတာကြောင့် သွားလာဖို့ မဖြစ်နိုင်ပါဘူး။"
"နယ်စပ်ကုန်သွယ်ရေးက အခု ဘယ်လိုပုံစံ ဖြစ်နေလဲ။","လမ်းကြောင်းတွေ ပိတ်ထားတဲ့အတွက် ကုန်စည်စီးဆင်းမှုက ရပ်တန့်လုနီးပါး ဖြစ်နေပြီး ကုန်သည်တွေ အခက်တွေ့နေကြပါတယ်။"
"ထိုင်းဘက်ကနေ မြန်မာကားတွေ ဝင်ခွင့်ပေးတာနဲ့ ပတ်သက်ပြီး ဘာတွေ ထူးခြားလဲ။","ထိုင်းအာဏာပိုင်တွေက ပိုင်ဆိုင်မှုအထောက်အထား မပြည့်စုံတဲ့ မြန်မာကားတွေကို နယ်စပ်ဖြတ်ကျော်ခွင့် တင်းတင်းကျပ်ကျပ် ပိတ်ပင်လိုက်ပါတယ်။"
"နိုင်ငံခြားသားတွေအတွက် အခြား နယ်စပ်ဂိတ်တွေကနေ ဝင်လို့ရနိုင်မလား။","လက်ရှိ လုံခြုံရေးအခြေအနေအရ ကုန်းလမ်းနယ်စပ်ဂိတ်တွေကနေ ဝင်ရောက်ဖို့က အလွန်ခက်ခဲပြီး လေကြောင်းခရီးကိုပဲ အဓိက အားကိုးနေရပါတယ်။"
"ဒီသတင်းအချက်အလက်တွေက ဘယ်လောက်အထိ စိတ်ချရလဲ။","Irrawaddy လို သတင်းဌာနတွေနဲ့ ထိုင်းသတင်းအေဂျင်စီတွေရဲ့ နောက်ဆုံးထုတ်ပြန်ချက်တွေကို အခြေခံထားတာ ဖြစ်ပါတယ်။"
"မဲဆောက်ဘက်မှာရော အခြေအနေက ဘယ်လိုရှိလဲ။","ထိုင်းစစ်တပ်က နယ်စပ်လုံခြုံရေးကို တိုးမြှင့်ထားပြီး တိုက်ပွဲတွေကြောင့် ထိခိုက်မှုမရှိအောင် စောင့်ကြည့်နေပါတယ်။"
"ခရီးသွားဖို့ စီစဉ်နေတဲ့သူတွေ ဘာလုပ်သင့်လဲ။","နယ်စပ်အခြေအနေက အချိန်မရွေး ပြောင်းလဲနိုင်တာကြောင့် ခရီးမထွက်ခင် သတင်းတွေကို မျက်ခြေမပြတ် စောင့်ကြည့်ဖို့ လိုပါတယ်။"
"ကော့ကရိတ်နဲ့ မြဝတီကြားက လမ်းပိုင်းက ဘယ်သူတွေ ထိန်းချုပ်ထားတာလဲ။","စစ်ကောင်စီတပ်တွေနဲ့ ကရင်လက်နက်ကိုင်အဖွဲ့တွေကြား နယ်မြေစိုးမိုးမှုအတွက် တိုက်ပွဲတွေ ဆက်လက်ပြင်းထန်နေဆဲ ဖြစ်ပါတယ်။"
"စက်သုံးဆီဆိုင်တွေမှာ ဘာကြောင့် ကားတန်းကြီးတွေ ရှည်နေရတာလဲ။","အနာဂတ်မှာ ဆီပြတ်လပ်မှု ပိုဆိုးလာမှာကို စိုးရိမ်ပြီး လူတွေက ရသလောက် ဝယ်ယူစုဆောင်းနေကြလို့ ဖြစ်ပါတယ်။"
"ဒီလို ဆီတန်းစီတာတွေကြောင့် လမ်းမပေါ်မှာ ဘာတွေဖြစ်ကုန်သလဲ။","ဆီဆိုင်ရှေ့မှာ တန်းစီနေတဲ့ ကားတန်းတွေကြောင့် လမ်းမတွေပိတ်ပြီး ယာဉ်ကြောပိတ်ဆို့မှုတွေ အကြီးအကျယ် ဖြစ်နေပါတယ်။"
"မှောင်ခိုဈေးကွက် (Black Market) အခြေအနေက ဘယ်လိုရှိလဲ။","ဆီမှောင်ခိုဈေးကွက်ဟာ နေ့ခင်းကြောင်တောင်မှာတင် ဗြောင်ကျကျနဲ့ အင်တိုက်အားတိုက် ဖြစ်ထွန်းနေပါတယ်။"
"တက္ကစီသမားအချို့က ဘာကြောင့် ဆီပြန်ရောင်းနေကြတာလဲ။","တက္ကစီမောင်းတာထက် ဆီဆိုင်ကရတဲ့ဆီကို မှောင်ခိုဈေးနဲ့ ပြန်ရောင်းတာက ဝင်ငွေပိုကောင်းနေလို့ ဖြစ်ပါတယ်။"
"တက္ကစီတွေအတွက် ထုတ်ပြန်ထားတဲ့ ကန့်သတ်ချက်အသစ်က ဘာလဲ။","ဆီဝယ်တဲ့အခါ ကီလိုမီတာ အကွာအဝေးမှတ်တမ်းကိုပြပြီး တကယ်မောင်းထားကြောင်း သက်သေပြရမယ်ဆိုတဲ့ စည်းကမ်းချက် ထွက်လာပါတယ်။"
"ဒီ ကီလိုမီတာပြရမယ်ဆိုတဲ့ စည်းကမ်းက လက်တွေ့ကျပါသလား။","ဒါဟာ လုံးဝကို ရယ်စရာကောင်းပြီး လက်တွေ့မှာ လုပ်ဆောင်ဖို့ မဖြစ်နိုင်တဲ့ ကိစ္စတစ်ခုပါ။"
"လျှပ်စစ်ကား (EV) ပိုင်ရှင်တွေရော ဘာအခက်အခဲ ကြုံနေရသလဲ။","EV ကားတွေလည်း ဆီကားတွေနည်းတူ အားသွင်းဖို့အတွက် အားသွင်းဂိတ်တွေမှာ တန်းစီနေကြရပါတယ်။"
"EV ပိုင်ရှင်တွေ အိမ်မှာ အားသွင်းလို့ မရဘူးလား။","အိမ်မှာ အားသွင်းဖို့ အဆောက်အအုံ ဒါမှမဟုတ် စက်ပစ္စည်း မပြည့်စုံတဲ့သူက အများစုဖြစ်လို့ အားသွင်းဂိတ်တွေကိုပဲ အားကိုးနေရပါတယ်။"
"လျှပ်စစ်မီး မမှန်တာက အားသွင်းဂိတ်တွေအပေါ် ဘယ်လို သက်ရောက်မှုရှိလဲ။","မီးခဏခဏ ပျက်တဲ့အတွက် အားသွင်းဂိတ်အချို့ဟာ ဆိုလာစနစ် (Solar) ကို ပြောင်းလဲအသုံးပြုနေရပါတယ်။"
"မြန်မာပြည်သူတွေရဲ့ လက်ရှိဘဝကို ဘယ်လို တင်စားနိုင်မလဲ။","ဘာမဆို တန်းစီရတဲ့ အလေ့အကျင့်ဟာ မြန်မာပြည်သူတွေအတွက် အကြီးအကျယ် လေ့ကျင့်ခန်းဆင်းနေရသလို ဖြစ်နေပါတယ်။"
"ဆီဆိုင်တွေမှာ တန်းစီရတာက အချိန်ဘယ်လောက် ကြာတတ်သလဲ။","ဆီရဖို့အတွက် နာရီပေါင်းများစွာ ဒါမှမဟုတ် တစ်နေ့လုံးနီးပါး တန်းစီစောင့်ဆိုင်းရတာမျိုးတွေ ရှိပါတယ်။"
"ဆီပြတ်လပ်မှုက ကုန်ဈေးနှုန်းအပေါ် သက်ရောက်မှု ရှိပါသလား။","သယ်ယူပို့ဆောင်ရေးစရိတ်တွေ တက်လာတဲ့အတွက် အခြေခံစားသောက်ကုန်ဈေးနှုန်းတွေလည်း လိုက်တက်လာပါတယ်။"
